 train         node  observed  predicted
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           15    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           15    "blue"  "blue"
     y           29    "blue"  "blue"
     y           29    "blue"  "blue"
     y           15    "blue"  "blue"
     y           29    "blue"  "blue"
     y           15    "blue"  "blue"
     y           29    "blue"  "blue"
     y           15    "blue"  "blue"
     y           29    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           29    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           13    "blue"  "blue"
     y           13    "blue"  "blue"
     y           15    "blue"  "blue"
     y           13    "blue"  "blue"
     y           15    "blue"  "blue"
     y           13    "blue"  "blue"
     y           13    "blue"  "blue"
     y           15    "blue"  "blue"
     y           13    "blue"  "blue"
     y           15    "blue"  "blue"
     y           15    "blue"  "blue"
     y           13    "blue"  "blue"
     y           13    "blue"  "blue"
     y           13    "blue"  "blue"
     y           13    "blue"  "blue"
     y           13    "blue"  "blue"
     y           13    "blue"  "blue"
     y           13    "blue"  "blue"
     y           15    "blue"  "blue"
     y           13    "blue"  "blue"
     y           13    "blue"  "blue"
     y           13    "blue"  "blue"
